Time (s),Fire Area,Brightness,Centroid X,Centroid Y,Spread Speed
0.0,40822,219.96288765861544,538,552,0.0
0.03336666666666667,39488,221.23847751215558,536,549,-39980.01998001998
0.06673333333333334,39136,220.70104251839737,534,549,-10549.450549450548
0.10010000000000001,38123,220.86535687118013,531,547,-30359.640359640358
0.13346666666666668,41048,221.1869031377899,532,543,87662.33766233765
0.16683333333333333,40114,220.53796679463528,527,542,-27992.007992007988
0.20020000000000002,44072,221.47179615175168,527,536,118621.37862137861
0.23356666666666667,45922,221.43242890118026,521,530,55444.55544455544
0.26693333333333336,51615,220.67034776712197,517,521,170619.3806193806
0.3003,61262,222.52064901570304,505,502,289120.8791208791
0.33366666666666667,62097,221.4536773113033,498,495,25024.97502497502
0.3670333333333333,67615,222.8338682245064,495,488,165374.62537462535
0.40040000000000003,75027,222.7152758340331,501,486,222137.86213786213
0.4337666666666667,85791,223.59594829294448,509,482,322597.4025974026
0.46713333333333334,96170,226.04975564105231,511,471,311058.941058941
0.5005000000000001,109278,227.47079924595985,514,463,392847.1528471528
0.5338666666666667,121975,227.4734986677598,507,453,380529.4705294705
0.5672333333333334,123934,227.86124066035148,509,452,58711.288711288704
0.6006,147346,227.93438573154344,509,441,701658.3416583416
0.6339666666666667,158976,227.540603613124,495,433,348551.4485514485
0.6673333333333333,185821,227.298077181804,445,406,804545.4545454545
0.7007,183270,227.33334970262453,445,406,-76453.54645354644
0.7340666666666666,183311,226.24220041350492,445,406,1228.7712287712286
0.7674333333333333,198751,227.32236818934246,428,394,462737.2627372627
0.8008000000000001,197639,226.43807143326976,427,394,-33326.67332667332
0.8341666666666667,214101,227.99955161349084,417,384,493366.6333666333
0.8675333333333334,204923,226.92607955183166,506,415,-275064.93506493507
0.9009,179077,226.18371985235402,509,424,-774605.3946053946
0.9342666666666667,181959,226.92393890931473,503,420,86373.62637362636
0.9676333333333333,200192,227.76458100223786,499,411,546443.5564435564
1.0010000000000001,230680,228.40635078897174,407,370,913726.2737262737
1.0343666666666667,220972,228.47252140542693,413,375,-290949.0509490509
1.0677333333333334,235059,229.27693898127703,403,366,422187.8121878122
1.1011,250234,229.59260532141914,396,371,454795.20479520474
1.1344666666666667,243603,229.87548593408127,400,376,-198731.2687312687
1.1678333333333333,266439,229.7346522093237,388,359,684395.6043956043
1.2012,276337,230.65554739321914,384,353,296643.3566433566
1.2345666666666666,294742,231.2302115070129,380,342,551598.4015984016
1.2679333333333334,326351,232.3778324564656,380,339,947322.6773226772
1.3013000000000001,321252,232.1777327456327,377,340,-152817.1828171828
1.3346666666666667,330577,232.86404075298645,374,317,279470.52947052947
1.3680333333333334,336282,232.5902783972975,376,329,170979.02097902098
1.4014,348551,233.70292439270006,377,322,367702.2977022977
1.4347666666666667,352634,233.22622322294504,377,318,122367.63236763235
1.4681333333333333,360511,233.9336802483142,377,313,236073.92607392606
1.5015,365528,234.29225668074676,379,310,150359.64035964035
1.5348666666666666,363601,234.46462743501806,379,312,-57752.24775224775
1.5682333333333334,352510,232.80708348699326,374,298,-332397.60239760234
1.6016000000000001,347623,232.51835177764417,373,296,-146463.53646353644
1.6349666666666667,348496,231.62815929020707,374,296,26163.83616383616
1.6683333333333334,351150,231.6247757368646,374,294,79540.45954045953
1.7017,340610,230.02100936555004,370,297,-315884.11588411586
1.7350666666666668,322868,228.82033214812245,363,299,-531728.2717282717
1.7684333333333333,300865,227.09241021720706,359,305,-659430.5694305694
1.8018,276674,225.35739534614746,365,313,-725004.9950049949
